"participant","block","word_duration","SOA","trial","type","wordInTrial","verb","correct"
900,1,200,600,1,"arm",1,"grab",1
900,1,200,600,1,"arm",2,"dunk",1
900,1,200,600,1,"arm",3,"lift",1
900,1,200,600,1,"arm",4,"file",1
900,1,200,600,2,"arm",1,"fold",1
900,1,200,600,2,"arm",2,"clutch",0
900,1,200,600,2,"arm",3,"whip",1
900,1,200,600,2,"arm",4,"twine",0
900,1,200,600,3,"arm",1,"nip",1
900,1,200,600,3,"arm",2,"throw",1
900,1,200,600,3,"arm",3,"pinch",1
900,1,200,600,3,"arm",4,"rub",1
900,1,200,600,4,"leg",1,"wander",1
900,1,200,600,4,"leg",2,"step",1
900,1,200,600,4,"leg",3,"stride",1
900,1,200,600,4,"leg",4,"limp",1
900,1,200,600,5,"leg",1,"plod",1
900,1,200,600,5,"leg",2,"slide",0
900,1,200,600,5,"leg",3,"scuff",0
900,1,200,600,5,"leg",4,"prance",0
900,1,200,600,6,"arm",1,"scrub",1
900,1,200,600,6,"arm",2,"pat",0
900,1,200,600,6,"arm",3,"tug",0
900,1,200,600,6,"arm",4,"wrap",0
900,1,200,600,7,"leg",1,"stomp",0
900,1,200,600,7,"leg",2,"kick",0
900,1,200,600,7,"leg",3,"climb",0
900,1,200,600,7,"leg",4,"sway",1
900,1,200,600,8,"leg",1,"dance",1
900,1,200,600,8,"leg",2,"strut",1
900,1,200,600,8,"leg",3,"inch",1
900,1,200,600,8,"leg",4,"walk",1
900,1,200,600,9,"leg",1,"tread",1
900,1,200,600,9,"leg",2,"leap",0
900,1,200,600,9,"leg",3,"traipse",0
900,1,200,600,9,"leg",4,"slither",0
900,1,200,600,10,"arm",1,"grip",1
900,1,200,600,10,"arm",2,"grasp",1
900,1,200,600,10,"arm",3,"bind",1
900,1,200,600,10,"arm",4,"seize",1
900,1,200,600,11,"arm",1,"clean",1
900,1,200,600,11,"arm",2,"toss",0
900,1,200,600,11,"arm",3,"catch",0
900,1,200,600,11,"arm",4,"peel",1
900,1,200,600,12,"leg",1,"skate",1
900,1,200,600,12,"leg",2,"bounce",1
900,1,200,600,12,"leg",3,"slip",0
900,1,200,600,12,"leg",4,"run",1
900,1,200,600,13,"arm",1,"stir",1
900,1,200,600,13,"arm",2,"cut",1
900,1,200,600,13,"arm",3,"shake",1
900,1,200,600,13,"arm",4,"hack",0
900,1,200,600,14,"arm",1,"scratch",1
900,1,200,600,14,"arm",2,"dig",0
900,1,200,600,14,"arm",3,"switch",0
900,1,200,600,14,"arm",4,"squeeze",1
900,1,200,600,15,"arm",1,"push",1
900,1,200,600,15,"arm",2,"wash",1
900,1,200,600,15,"arm",3,"knock",1
900,1,200,600,15,"arm",4,"click",1
900,1,200,600,16,"leg",1,"hop",1
900,1,200,600,16,"leg",2,"pace",1
900,1,200,600,16,"leg",3,"roll",1
900,1,200,600,16,"leg",4,"trip",0
900,1,200,600,17,"leg",1,"stamp",1
900,1,200,600,17,"leg",2,"stagger",1
900,1,200,600,17,"leg",3,"sprint",0
900,1,200,600,17,"leg",4,"mount",0
900,1,200,600,18,"arm",1,"bash",1
900,1,200,600,18,"arm",2,"polish",1
900,1,200,600,18,"arm",3,"skim",1
900,1,200,600,18,"arm",4,"wipe",1
900,1,200,600,19,"arm",1,"carve",1
900,1,200,600,19,"arm",2,"clap",0
900,1,200,600,19,"arm",3,"punch",0
900,1,200,600,19,"arm",4,"snatch",0
900,1,200,600,20,"arm",1,"delve",1
900,1,200,600,20,"arm",2,"claw",1
900,1,200,600,20,"arm",3,"scoop",1
900,1,200,600,20,"arm",4,"scrape",1
900,1,200,600,21,"leg",1,"sneak",1
900,1,200,600,21,"leg",2,"hike",1
900,1,200,600,21,"leg",3,"skip",1
900,1,200,600,21,"leg",4,"rush",0
900,1,200,600,22,"arm",1,"stab",1
900,1,200,600,22,"arm",2,"poke",0
900,1,200,600,22,"arm",3,"chop",0
900,1,200,600,22,"arm",4,"grate",0
900,1,200,600,23,"leg",1,"kneel",0
900,1,200,600,23,"leg",2,"wobble",1
900,1,200,600,23,"leg",3,"flee",0
900,1,200,600,23,"leg",4,"stroll",0
900,1,200,600,24,"leg",1,"trek",0
900,1,200,600,24,"leg",2,"trudge",0
900,1,200,600,24,"leg",3,"wade",0
900,1,200,600,24,"leg",4,"stray",0
900,1,200,600,25,"arm",1,"brush",1
900,1,200,600,25,"arm",2,"slap",0
900,1,200,600,25,"arm",3,"pull",1
900,1,200,600,25,"arm",4,"braid",1
900,1,200,600,26,"leg",1,"flit",0
900,1,200,600,26,"leg",2,"ramble",0
900,1,200,600,26,"leg",3,"creep",0
900,1,200,600,26,"leg",4,"stumble",0
900,1,200,600,27,"leg",1,"jump",1
900,1,200,600,27,"leg",2,"roam",1
900,1,200,600,27,"leg",3,"march",1
900,1,200,600,27,"leg",4,"glide",1
900,1,200,600,28,"leg",1,"crawl",1
900,1,200,600,28,"leg",2,"jog",1
900,1,200,600,28,"leg",3,"trot",0
900,1,200,600,28,"leg",4,"tiptoe",1
900,2,100,500,1,"arm",1,"whip",1
900,2,100,500,1,"arm",2,"hack",0
900,2,100,500,1,"arm",3,"slap",1
900,2,100,500,1,"arm",4,"wrap",1
900,2,100,500,2,"leg",1,"strut",0
900,2,100,500,2,"leg",2,"trip",1
900,2,100,500,2,"leg",3,"roll",1
900,2,100,500,2,"leg",4,"sway",1
900,2,100,500,3,"arm",1,"fold",1
900,2,100,500,3,"arm",2,"stab",1
900,2,100,500,3,"arm",3,"dig",1
900,2,100,500,3,"arm",4,"squeeze",1
900,2,100,500,4,"arm",1,"cut",1
900,2,100,500,4,"arm",2,"polish",1
900,2,100,500,4,"arm",3,"switch",0
900,2,100,500,4,"arm",4,"brush",0
900,2,100,500,5,"arm",1,"throw",1
900,2,100,500,5,"arm",2,"grip",1
900,2,100,500,5,"arm",3,"carve",0
900,2,100,500,5,"arm",4,"grasp",1
900,2,100,500,6,"leg",1,"tread",0
900,2,100,500,6,"leg",2,"skate",1
900,2,100,500,6,"leg",3,"sprint",0
900,2,100,500,6,"leg",4,"pace",0
900,2,100,500,7,"leg",1,"slither",0
900,2,100,500,7,"leg",2,"plod",0
900,2,100,500,7,"leg",3,"run",0
900,2,100,500,7,"leg",4,"stroll",0
900,2,100,500,8,"arm",1,"chop",1
900,2,100,500,8,"arm",2,"pat",1
900,2,100,500,8,"arm",3,"scoop",1
900,2,100,500,8,"arm",4,"twine",1
