Word,FREQcount,SUBTLWF,Lg10WF
bash,167,3.27,2.2253
bind,171,3.35,2.2355
bounce,502,9.84,2.7016
braid,48,0.94,1.6902
brush,722,14.16,2.8591
carve,158,3.1,2.2014
catch,6911,135.51,3.8396
chop,694,13.61,2.842
clap,241,4.73,2.3838
claw,223,4.37,2.3502
clean,6183,121.24,3.7913
click,327,6.41,2.5159
climb,1007,19.75,3.0035
clutch,127,2.49,2.1072
crawl,614,12.04,2.7889
creep,573,11.24,2.7589
cut,11718,229.76,4.0689
dance,7550,148.04,3.878
delve,14,0.27,1.1761
dig,2357,46.22,3.3725
dunk,132,2.59,2.1239
file,2246,44.04,3.3516
flee,233,4.57,2.3692
flit,25,0.49,1.415
fold,440,8.63,2.6444
glide,120,2.35,2.0828
grab,3614,70.86,3.5581
grasp,233,4.57,2.3692
grate,52,1.02,1.7243
grip,494,9.69,2.6946
hack,436,8.55,2.6405
hike,333,6.53,2.5237
hop,977,19.16,2.9903
inch,631,12.37,2.8007
jog,123,2.41,2.0934
jump,3561,69.82,3.5517
kick,3744,73.41,3.5735
kneel,272,5.33,2.4362
knock,3299,64.69,3.5185
leap,340,6.67,2.5328
lift,1741,34.14,3.241
limp,187,3.67,2.2742
march,1225,24.02,3.0885
mount,NA,NA,NA
nip,165,3.24,2.2201
pace,488,9.57,2.6893
pat,NA,NA,NA
peel,273,5.35,2.4378
pinch,312,6.12,2.4955
plod,5,0.1,0.7782
poke,298,5.84,2.4757
polish,493,9.67,2.6937
prance,39,0.76,1.6021
pull,7469,146.45,3.8733
punch,1514,29.69,3.1804
push,3598,70.55,3.5562
ramble,31,0.61,1.5051
roam,173,3.39,2.2405
roll,3227,63.27,3.5089
rub,788,15.45,2.8971
run,17878,350.55,4.2523
rush,1602,31.41,3.2049
scoop,289,5.67,2.4624
scrape,210,4.12,2.3243
scratch,961,18.84,2.9832
scrub,318,6.24,2.5038
scuff,23,0.45,1.3802
seize,246,4.82,2.3927
shake,2021,39.63,3.3058
skate,301,5.9,2.48
skim,43,0.84,1.6435
skip,1076,21.1,3.0322
slap,636,12.47,2.8041
slide,909,17.82,2.959
slip,1320,25.88,3.1209
slither,11,0.22,1.0792
snatch,199,3.9,2.301
sneak,861,16.88,2.9355
sprint,36,0.71,1.5682
squeeze,769,15.08,2.8865
stab,447,8.76,2.6513
stagger,30,0.59,1.4914
stamp,302,5.92,2.4814
step,6052,118.67,3.782
stir,301,5.9,2.48
stomp,136,2.67,2.1367
stray,272,5.33,2.4362
stride,107,2.1,2.0334
stroll,211,4.14,2.3263
strut,80,1.57,1.9085
stumble,100,1.96,2.0043
sway,129,2.53,2.1139
switch,1434,28.12,3.1569
throw,6570,128.82,3.8176
tiptoe,45,0.88,1.6628
toss,632,12.39,2.8014
traipse,14,0.27,1.1761
tread,116,2.27,2.0682
trek,NA,NA,NA
trip,4202,82.39,3.6236
trot,92,1.8,1.9685
trudge,12,0.24,1.1139
tug,140,2.75,2.1492
twine,29,0.57,1.4771
wade,NA,NA,NA
walk,11009,215.86,4.0418
wander,299,5.86,2.4771
wash,2077,40.73,3.3176
whip,671,13.16,2.8274
wipe,861,16.88,2.9355
wobble,30,0.59,1.4914
wrap,908,17.8,2.9586
